filename,zcr,rms,temporal_centroid,duration,spec_centroid,spec_bandwidth,rolloff,flatness,dom_freq,spec_energy,spec_entropy,crest_factor,skewness,kurtosis,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,fft_coeff_1,fft_coeff_2,fft_coeff_3,fft_coeff_4,fft_coeff_5,fft_coeff_6,fft_coeff_7,fft_coeff_8,fft_coeff_9,fft_coeff_10,label
sam307_vib6.wav,0.02958984375,0.019104302,0.040033704336794325,0.1,2578.8448359555196,2417.566740034791,5288.5546875,0.019349303,0.0,1785.7124,8.7239065,3.3287575,-1.0216131210327148,2.2577753,-287.8382,59.476917,-17.429684,63.62484,-1.695021,15.868044,0.46655044,19.04193,0.86443436,5.050146,2.892129,0.09955235,1.0459284,0.61049265,0.7024356,0.6076353,0.64878225,0.7100578,0.83577555,0.96336937,0.6617534,0.7144318,0.83006954,0.5719138,0.56315815,2.5085268,2.5095472,2.5884366,3.1597528,3.3252375,3.4396725,6.441371,9.890292,13.89591,34.639286,1
sam308_vib1.wav,0.00732421875,0.047830496,0.040872397647991575,0.1,2219.9892311474073,2647.434759585919,5387.607421875,0.008204047,0.0,11558.014,7.941432,2.9594011,-1.6552945375442505,3.2145739,-277.8623,51.110535,6.187249,61.347267,0.031138707,19.18062,9.432826,25.081068,8.544954,4.0565863,10.012665,5.935113,5.8740473,0.6875082,0.7599064,0.87761277,0.9249484,0.9512242,0.95570374,0.84570676,0.72127855,0.7183867,0.75509304,0.71838534,0.6961716,4.018438,4.781758,5.814817,7.1583853,10.766173,15.168571,22.524456,22.924633,37.023403,91.65689,1
sam308_vib2.wav,0.01064453125,0.046524983,0.0439329527296448,0.1,2197.044088499556,2562.228375466362,5254.1015625,0.0053676176,0.0,12154.307,7.75898,2.1228433,-1.0269752740859985,1.7585282,-285.3239,52.9382,0.83472764,61.713593,-3.852005,16.594059,7.2845955,21.5864,0.49858275,3.1739728,8.231153,2.2509193,-2.13301,0.5572144,0.68507123,0.7309517,0.70355433,0.8139554,0.98633575,0.89371806,0.7751397,0.7310578,0.6527605,0.56187594,0.49127612,2.597589,3.4360816,3.5815454,6.004161,6.179292,9.580343,10.002765,12.676479,28.519447,103.30492,1
sam308_vib3.wav,0.00400390625,0.06034916,0.04178866008145198,0.1,2046.030273294212,2574.7949613406327,5137.822265625,0.0061391233,0.0,18653.639,7.8399916,2.8378513,-1.9164423942565918,4.833165,-263.40323,58.128925,3.0454495,55.79656,-2.055794,21.589092,10.11338,18.50011,3.906388,2.6499667,11.048734,2.782369,0.8413805,0.6759528,0.7623036,0.8511187,0.81623363,0.8968341,0.98440063,0.9406131,0.8265952,0.76256263,0.6947325,0.6731744,0.64482856,4.8759174,5.148348,5.538998,7.733883,16.758732,18.192253,22.657143,26.49229,45.096863,118.93059,1
sam308_vib4.wav,0.01376953125,0.039944343,0.03607794211871906,0.1,2332.5339978366683,2563.8520450939204,5314.39453125,0.010694118,0.0,7902.6455,8.260599,3.5091503,-1.5470207929611206,4.856222,-273.47012,56.56411,-3.8834057,57.396217,-2.1631007,18.559013,12.700643,23.56546,-0.8816212,2.9187288,10.906571,2.6735954,-1.323427,0.4444197,0.50842386,0.6211745,0.65314627,0.8224843,0.99522007,0.8119134,0.6745258,0.61281323,0.55549204,0.48934358,0.43148375,4.676031,5.1304207,5.3004346,5.670471,8.837207,10.112603,11.318914,17.586876,34.046146,74.72273,1
sam308_vib5.wav,0.00439453125,0.05718094,0.04545372346919337,0.1,1997.1425024380296,2545.2144233808576,5103.369140625,0.00600379,0.0,16915.33,7.767685,2.9222672,-2.0478386878967285,5.065341,-273.04956,57.950542,8.112789,61.943626,-2.7230806,19.70957,7.5259666,23.11048,4.105349,9.138113,9.085361,5.4696994,2.0717783,0.6883712,0.75435907,0.8375557,0.8579253,0.96811306,0.96459025,0.87732553,0.79384077,0.7180991,0.67812395,0.678259,0.6917174,5.3536654,6.0457616,6.079875,9.791251,14.248481,18.522264,24.131754,24.452997,39.241955,113.97456,1
sam308_vib6.wav,0.00673828125,0.089323446,0.04956961045845893,0.1,1577.5113559331053,2363.849214822292,4321.7138671875,0.0039633154,0.0,38099.508,7.6435895,3.3975506,-1.8302302360534668,3.3676639,-231.74483,77.66923,13.698741,62.15387,2.2980685,22.980412,9.550951,21.702368,6.1106386,2.8709407,8.2142315,6.281728,3.800877,0.6951381,0.7690878,0.8988922,0.8914568,0.82136405,0.72948635,0.70842636,0.7528894,0.6825469,0.57691836,0.57716495,0.6326159,16.535454,20.110434,20.355715,28.479164,30.825718,35.92757,38.73578,67.39037,68.33402,146.9517,1
sam308_vib7.wav,0.012109375,0.059842728,0.022646184566666627,0.1,949.7318715499835,1708.9519260457123,2205.0,0.00198289,50.0,14288.893,6.6502123,6.6735525,1.786778450012207,7.1118298,-307.2087,119.03335,13.074373,87.828354,17.719112,25.461008,9.983007,20.76075,15.521154,7.062169,1.3810203,2.1493304,-1.9091566,0.6851025,0.6527242,0.624448,0.61723214,0.6115146,0.6984917,0.8437948,0.8534422,0.8975504,0.93340874,0.84006035,0.7836992,21.605055,27.212198,29.146696,30.452946,32.087746,33.53976,33.72984,36.09254,36.8353,47.876305,1
sam309_vib1.wav,0.01806640625,0.06307736,0.013164254296523115,0.1,1037.6890300816144,1857.5603328938364,2353.5791015625,0.0014535103,40.0,17155.094,6.786245,6.1176376,-1.761488914489746,5.0082703,-298.9991,122.10246,10.797879,68.9088,13.509775,19.489777,6.435563,23.44168,7.0902176,9.816548,9.277635,-1.0959337,1.9463822,0.6886394,0.8409203,0.8617754,0.8163637,0.631394,0.5928086,0.68701035,0.79007024,0.7257311,0.648652,0.52711856,0.5444485,19.360422,22.660072,23.339647,28.793663,32.849987,33.100613,34.86295,39.47677,57.3105,57.517647,1
sam309_vib2.wav,0.01494140625,0.05656452,0.038808897145499205,0.1,2077.215073004395,2538.330177299601,5114.1357421875,0.008050226,0.0,14165.424,8.1896305,3.388538,-1.6749356985092163,3.446464,-248.1634,64.19841,3.6128592,59.748974,0.43827996,22.48576,8.974112,22.573063,5.102397,4.21429,8.261036,4.397456,2.2380867,0.6874953,0.7019278,0.6784606,0.7406069,0.9863491,0.9875469,0.7491425,0.69774914,0.672047,0.595714,0.598974,0.6356018,9.345834,9.530958,11.446393,11.56457,12.027153,14.528678,19.028685,29.10012,57.096825,89.37758,1
sam309_vib3.wav,0.01025390625,0.086144924,0.02085481691600351,0.1,982.4280715394731,1781.8339275603144,2220.0732421875,0.0020734542,40.0,29179.553,7.371469,4.7574196,-0.06058662012219429,1.3820071,-279.05444,123.665665,11.833329,66.8702,11.89296,24.017736,8.579156,17.25307,9.999301,3.6777005,8.5314,2.8861048,2.6738217,0.6790354,0.63741344,0.6583459,0.65002894,0.64327157,0.6949121,0.7265009,0.8243519,0.8263477,0.8248887,0.7736953,0.72646713,32.57708,35.40954,35.544525,35.990364,42.172752,46.41723,52.444862,53.750656,61.158264,62.711704,1
sam309_vib4.wav,0.01201171875,0.06378625,0.05596825370429092,0.1,1844.9998707422935,2493.248082228244,4888.037109375,0.0034140795,0.0,23781.281,7.3169546,2.7271545,-0.5240846276283264,0.89917445,-266.16635,62.163086,9.776257,62.126457,2.8741345,23.424995,10.16462,27.29221,3.9957256,6.7492294,7.439813,3.611117,2.321766,0.7481381,0.7617787,0.80202544,0.7890707,0.8398098,0.85286796,0.7946671,0.6984915,0.55122757,0.5025443,0.5708763,0.64980376,9.052762,9.606745,13.927956,14.075329,14.154538,16.81319,19.013454,20.230356,30.796202,143.07132,1
sam309_vib5.wav,0.0146484375,0.05566281,0.05930118930084783,0.1,1932.9987844356194,2514.155551827748,4900.95703125,0.006490495,0.0,14722.1,7.6866245,3.1532934,-1.5179932117462158,3.2422318,-254.27982,65.34442,7.010456,56.898956,4.893304,22.14883,10.006627,25.61864,7.352397,3.0716124,8.705327,5.9927797,2.7937424,0.7302004,0.73047477,0.70204735,0.67406476,0.76870614,0.6872959,0.6342511,0.63167083,0.6651877,0.70931214,0.7382866,0.7326759,15.580559,17.274128,18.67885,19.395105,19.726234,21.223661,24.73095,32.412617,47.39063,88.4627,1
sam309_vib6.wav,0.00498046875,0.05563147,0.043191321340889044,0.1,2080.557764368022,2539.3407216192445,5198.115234375,0.007903431,0.0,14990.767,8.173361,3.651636,-2.3700063228607178,5.8153152,-246.56064,64.24043,0.90897405,55.623028,0.6347204,16.148306,2.6274543,23.734695,4.2997293,1.7640064,13.166455,5.251417,-0.87505054,0.65292144,0.7873858,0.82697326,0.8158804,0.88975114,0.7650336,0.6854985,0.6689647,0.62215525,0.5940154,0.59940594,0.6222226,6.829741,7.005144,9.678596,9.960887,13.046362,16.47447,30.216543,33.57885,40.95463,98.17886,1
sam309_vib7.wav,0.00615234375,0.06344009,0.058764224483633186,0.1,1823.0178353425931,2468.688554826384,4806.2109375,0.0031755094,0.0,24922.44,7.2782426,2.6584291,-0.40649789571762085,0.7008755,-266.3258,60.918957,5.710443,63.06791,2.1492724,24.814587,8.548265,25.408506,6.828293,7.174466,11.3491535,5.7116957,3.336415,0.5238902,0.55632704,0.63090754,0.7681015,0.97282255,0.91145647,0.79296315,0.7128328,0.6464202,0.6289181,0.5863527,0.53373736,12.4879675,13.341098,16.790415,17.726303,17.730139,19.762505,22.851297,26.382145,28.526731,144.30357,1
sam30_vib1.wav,0.05703125,0.019509442,0.044490975495825924,0.1,2119.2569906220406,2243.0737946902777,4638.251953125,0.022227686,0.0,1593.7975,8.712957,4.160078,-0.23397070169448853,0.3679464,-287.5551,82.74956,-20.096027,55.42179,7.8176713,30.26405,-5.043648,10.468618,11.275378,10.580816,-3.2560558,-7.328494,10.345887,0.54757226,0.5962588,0.74670255,0.8906789,0.6566407,0.502533,0.4535009,0.6636623,0.73600954,0.87738097,0.6859108,0.6305006,3.7171445,5.5576477,5.933075,6.2428966,6.4576797,7.1145544,8.284603,10.432359,12.338798,27.22406,1
sam30_vib2.wav,0.05234375,0.023503419,0.037492227261155996,0.1,2292.167909526833,2216.891744357379,4681.318359375,0.04208283,0.0,2102.849,9.1586685,9.366721,-1.4185327291488647,9.770828,-281.776,70.810165,-5.1353655,66.36825,-6.4030676,19.901646,0.17006624,13.054087,2.0522602,9.376389,12.080088,5.449304,11.904863,0.7269426,0.6675661,0.74590397,0.85002404,0.81288147,0.66339624,0.6968672,0.7530808,0.72955906,0.7266108,0.59940785,0.6077711,4.091149,6.272466,8.039646,9.406676,10.305168,11.00194,11.380035,15.001713,15.422102,17.899532,1
